ProbeID,GeneSymbol,EntrezID,logFC,AveExpr,t,PValue,adjPVal,B,ProbeID1,logFC1,AveExpr1,t1,PValue1,adjPVal1
224570_s_at,IRF2BP2,359948,0.488122199,5.133312364,3.708197177,0.000466055,0.301678498,-0.287553343,224570_s_at,0.351486813,5.133312364,2.282449125,0.026195738,0.999925658
231257_at,TCERG1L,256536,-0.277673856,2.165979829,-3.705052169,0.000470755,0.301678498,-0.295457512,231257_at,0.013537193,2.165979829,0.15104048,0.880474568,0.999925658
219196_at,SCG3,29106,-1.171921719,4.913835869,-3.701363436,0.000476326,0.301678498,-0.304723472,219196_at,-0.27100905,4.913835869,-0.710999895,0.479970201,0.999925658
227909_at,SMIM10L2A /// SMIM10L2B,399668 /// 644596,-0.743798594,8.017151585,-3.695797685,0.000484852,0.301678498,-0.318694759,227909_at,-0.256899693,8.017151585,-1.037585029,0.303824562,0.999925658
207135_at,HTR2A,3356,-0.966339804,5.202350678,-3.688126232,0.000496842,0.301678498,-0.337932709,207135_at,-0.330555291,5.202350678,-1.049252715,0.29846973,0.999925658
225998_at,GAB1,2549,0.809294027,5.689989858,3.682381291,0.000506007,0.301678498,-0.352324924,225998_at,0.33114491,5.689989858,1.246202891,0.217763744,0.999925658
204337_at,RGS4,5999,-2.005924752,6.660068565,-3.662764345,0.000538534,0.301678498,-0.401374795,204337_at,-0.248557893,6.660068565,-0.372042089,0.71123468,0.999925658
204869_at,PCSK2,5126,-0.99761005,5.527097996,-3.66222873,0.00053945,0.301678498,-0.402711979,204869_at,-0.114362718,5.527097996,-0.345947581,0.730649821,0.999925658
238073_at,ELAVL4,1996,-1.058464916,6.228386127,-3.65916123,0.000544722,0.301678498,-0.410368002,238073_at,-0.294386075,6.228386127,-0.845258648,0.401484154,0.999925658
203540_at,GFAP,2670,0.478632617,12.58703132,3.653698203,0.000554233,0.301678498,-0.42399397,203540_at,0.176489335,12.58703132,1.168034792,0.247632527,0.999925658
219461_at,PAK6,56924,-0.699459856,4.067164309,-3.652738865,0.00055592,0.301678498,-0.426385585,219461_at,-0.116324878,4.067164309,-0.497834158,0.620507291,0.999925658
209123_at,QDPR,5860,0.551417007,10.54486724,3.642145537,0.000574872,0.301678498,-0.452771021,209123_at,0.127805934,10.54486724,0.693149719,0.491017271,0.999925658
203632_s_at,GPRC5B,51704,0.423429749,10.54814357,3.642058182,0.000575031,0.301678498,-0.45298842,203632_s_at,0.051566631,10.54814357,0.369192211,0.713346025,0.999925658
236038_at,RNF150,57484,-0.628694113,4.672039195,-3.631160393,0.000595176,0.301678498,-0.480086595,236038_at,-0.115715745,4.672039195,-0.573942092,0.568254419,0.999925658
230276_at,FAM49A,81553,-0.645865131,4.275894675,-3.630117743,0.000597138,0.301678498,-0.482676809,230276_at,-0.062176569,4.275894675,-0.282352139,0.77869147,0.999925658
244726_at,---,---,-0.487920924,3.553226904,-3.626838418,0.000603351,0.301678498,-0.490820754,244726_at,-0.042380728,3.553226904,-0.247506208,0.805401724,0.999925658
203020_at,RABGAP1L,9910,-0.665682253,6.91798804,-3.624511289,0.000607797,0.301678498,-0.49659746,203020_at,0.04579617,6.91798804,0.205643383,0.837798757,0.999925658
204726_at,CDH13,1012,-0.470752052,3.04518104,-3.615395854,0.000625514,0.301678498,-0.519204651,204726_at,-0.173557378,3.04518104,-1.111721819,0.270903208,0.999925658
228821_at,ST6GAL2,84620,-0.461876032,2.858501869,-3.615318232,0.000625667,0.301678498,-0.519397022,228821_at,-0.141287057,2.858501869,-0.912472378,0.36534547,0.999925658
215321_at,RUNDC3B,154661,-0.826640499,5.911213196,-3.613308331,0.00062964,0.301678498,-0.524377348,215321_at,-0.236495589,5.911213196,-0.856665012,0.395200618,0.999925658
221482_s_at,ARPP19,10776,-0.621704304,8.660753584,-3.611006702,0.00063422,0.301678498,-0.530078603,221482_s_at,-0.189758229,8.660753584,-0.935647741,0.353383426,0.999925658
208940_at,SEPHS1,22929,0.351877493,3.704350227,3.610711198,0.00063481,0.301678498,-0.530810431,208940_at,0.247924017,3.704350227,2.164485778,0.034609727,0.999925658
212976_at,LRRC8B,23507,-0.900312273,3.912051307,-3.60057128,0.000655384,0.301678498,-0.555901607,212976_at,-0.061912734,3.912051307,-0.207735497,0.836172481,0.999925658
