match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stNoLet,2ndNoLet,1stSV,2ndSV,1stNoSV,2ndNoSV,1stIn,2ndIn,isRally1st,isRally2nd,Sv1,Sv2,Rally,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,rallyNoSpec,rallyNoError,rallyNoDirection,rallyLen,PtWinner,isSvrWinner,PtsAfter,GmW,Gm1,Gm2,SetW,Set1,Set2,RevTB,TBrev,rallyCount
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,38,0,0,2,3,40-30,6,1,0,,2,1,ND,4w,4s38b3b1*,,4w,4s38b3b1*,0,0,4w,4s38b3b1*,0,1,0,1,4w,4,s38b3b1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,s38b3b1,s38b3b1,sbb,3,1,0,40-40,0,2,3,0,0,0,,,4
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,39,0,0,2,3,40-40,6,1,0,,2,1,ND,6s39b3b2b1f1f2b+3b3z1f1w#,,,6s39b3b2b1f1f2b+3b3z1f1w#,,0,,6s39b3b2b1f1f2b+3b3z1f1w#,,1,,1,0,6,,s39b3b2b1f1f2b+3b3z1f1w#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,s39b3b2b1f1f2b3b3z1f1w,s39b3b2b1f1f2b3b3z1f1,sbbbffbbzf,10,1,0,40-AD,0,2,3,0,0,0,,,10
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,40,0,0,2,3,40-AD,6,1,0,,2,1,ND,5s28f3b3b3b1d@,,,5s28f3b3b3b1d@,,0,,5s28f3b3b3b1d@,,1,,1,0,5,,s28f3b3b3b1d@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,s28f3b3b3b1d,s28f3b3b3b1,sfbbb,5,2,1,40-40,0,2,3,0,0,0,,,5
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,41,0,0,2,3,40-40,6,1,0,,2,1,ND,6n,6b39b3b2b3b3b3s2b3b2b3b2f1f1f3b3w@,,6n,6b39b3b2b3b3b3s2b3b2b3b2f1f1f3b3w@,0,0,6n,6b39b3b2b3b3b3s2b3b2b3b2f1f1f3b3w@,0,1,0,1,6n,6,b39b3b2b3b3b3s2b3b2b3b2f1f1f3b3w@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,b39b3b2b3b3b3s2b3b2b3b2f1f1f3b3w,b39b3b2b3b3b3s2b3b2b3b2f1f1f3b3,bbbbbbsbbbbfffb,15,2,1,AD-40,0,2,3,0,0,0,,,15
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,42,0,0,2,3,AD-40,6,1,0,,2,1,ND,6f29f3f3n@,,,6f29f3f3n@,,0,,6f29f3f3n@,,1,,1,0,6,,f29f3f3n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,f29f3f3n,f29f3f3,fff,3,2,1,GM,2,2,4,0,0,0,,,3
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,43,0,0,2,4,0-0,7,1,0,,1,2,RF,4f29f3*,,,4f29f3*,,0,,4f29f3*,,1,,1,0,4,,f29f3*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f29f3,f29f3,ff,2,1,1,15-0,0,2,4,0,0,0,,,3
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,44,0,0,2,4,15-0,7,1,0,,1,2,RF,4w,6f28f+3b3z3b#,,4w,6f28f+3b3z3b#,0,0,4w,6f28f+3b3z3b#,0,1,0,1,4w,6,f28f+3b3z3b#,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,f28f3b3z3b,f28f3b3z3b,ffbzb,5,1,1,30-0,0,2,4,0,0,0,,,5
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,45,0,0,2,4,30-0,7,1,0,,1,2,RF,6b38b3b3b1f1u3n@,,,6b38b3b3b1f1u3n@,,0,,6b38b3b3b1f1u3n@,,1,,1,0,6,,b38b3b3b1f1u3n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,b38b3b3b1f1u3n,b38b3b3b1f1u3,bbbbfu,6,2,0,30-15,0,2,4,0,0,0,,,6
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,46,0,0,2,4,30-15,7,1,0,,1,2,RF,4w,6n,,4w,6n,0,0,4w,6n,0,0,0,0,4w,6n,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,0,2,0,30-30,0,2,4,0,0,0,,,0
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,47,0,0,2,4,30-30,7,1,0,,1,2,RF,4f28f+2b3z1*,,,4f28f+2b3z1*,,0,,4f28f+2b3z1*,,1,,1,0,4,,f28f+2b3z1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,f28f2b3z1,f28f2b3z1,ffbz,4,1,1,40-30,0,2,4,0,0,0,,,5
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,48,0,0,2,4,40-30,7,1,0,,1,2,RF,4s28j1*,,,4s28j1*,,0,,4s28j1*,,1,,1,0,4,,s28j1*,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,s28j1,s28j1,sj,2,1,1,GM,1,3,4,0,0,0,,,3
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,49,0,0,3,4,0-0,8,1,0,,2,1,ND,4#,,,4#,,0,,4#,,1,,0,0,4#,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,0,2,1,15-0,0,3,4,0,0,0,,,1
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,50,0,0,3,4,15-0,8,1,0,,2,1,ND,5s28f3b3n@,,,5s28f3b3n@,,0,,5s28f3b3n@,,1,,1,0,5,,s28f3b3n@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,s28f3b3n,s28f3b3,sfb,3,2,1,30-0,0,3,4,0,0,0,,,3
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,51,0,0,3,4,30-0,8,1,0,,2,1,ND,5f28f1f3b3s2f1f1f1f2b3s3f1d@,,,5f28f1f3b3s2f1f1f1f2b3s3f1d@,,0,,5f28f1f3b3s2f1f1f1f2b3s3f1d@,,1,,1,0,5,,f28f1f3b3s2f1f1f1f2b3s3f1d@,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,f28f1f3b3s2f1f1f1f2b3s3f1d,f28f1f3b3s2f1f1f1f2b3s3f1,fffbsffffbsf,12,1,0,30-15,0,3,4,0,0,0,,,12
