"Study","parent","DataType","Contrast","name","LogFC","size","PValue","AdjPValue"
"MSBB","Parahippocampal Gyrus","RNA-Seq","AD-NCI","ITPKB","1.0856733090445","11.0486907321373","1.78788369406511e-13","8.93941847032555e-12"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","ITPKB","0.499254980299121","7.99427383168765","2.70205945348883e-10","1.01327229505831e-08"
"MSBB","Inferior Frontal Gyrus","RNA-Seq","AD-NCI","ITPKB","0.515849091997787","5.4263539329719","2.24800523064377e-07","3.74667538440628e-06"
"MSBB","Superior Temporal Gyrus","RNA-Seq","AD-NCI","ITPKB","0.458096025925725","3.57627598899895","2.65291912749652e-05","0.000265291912749652"
"ROSMAP","Dorsolateral Prefrontal Cortex","Microarray","AD-NCI","ITPKB","0.33749856518725","3.57627598899895","3.26969576254168e-05","0.000265291912749652"
"MSBB","Temporal Pole","Microarray","AD-NCI","ITPKB","0.98924634010989","3.33907696245042","0.000109934569295306","0.000458060705397108"
"MSBB","Inferior Temporal Gyrus","Microarray","AD-NCI","ITPKB","1.09679950303031","3.1692914456878","0.000189612334665427","0.000677186909519382"
"MSBB","Frontal Pole","RNA-Seq","AD-NCI","ITPKB","0.458955932360518","2.78961824458513","0.000292182540236249","0.00162323633464583"
"MSBB","Frontal Pole","Microarray","AD-NCI","ITPKB","0.828210237500002","2.97607884069354","0.000338120215909715","0.00105662567471786"
"MSBB","Parahippocampal Gyrus","Microarray","AD-NCI","ITPKB","0.8069737348718","2.32757533882048","0.00188141521788523","0.00470353804471308"
"MSBB","Superior Temporal Gyrus","Microarray","AD-NCI","ITPKB","0.625250517307693","1.97015428034857","0.00487434564162813","0.0107113872243299"
"MSBB","Mid Temp Gyrus","Microarray","AD-NCI","ITPKB","0.754438864285717","1.97015428034857","0.00514146586767837","0.0107113872243299"
"MSBB","Amygdala","Microarray","AD-NCI","ITPKB","0.413343035857144","1.6796959671567","0.010871948249288","0.0209075927870923"
"MSBB","Ant Cingulate","Microarray","AD-NCI","ITPKB","0.568162235096159","1.33544600535543","0.0258667592896304","0.0461906415886257"
"MSBB","Prefrontal Cortex","Microarray","AD-NCI","ITPKB","0.574857270779217","1.23309052390576","0.0350800922273544","0.058466820378924"
"MSBB","Hippocampus","Microarray","AD-NCI","ITPKB","0.461588514285713","1.0397991593419","0.0583956927214996","0.0912432698773431"
"MSBB","Putamen","Microarray","AD-NCI","ITPKB","0.389379979861113","1.00969138677336","0.0664993692371591","0.0977931900546457"
"MSBB","Posterior Cingulate Cortex","Microarray","AD-NCI","ITPKB","0.411268526373627","0.967579828909356","0.0776102046261292","0.107750717581818"
"MSBB","OVC","Microarray","AD-NCI","ITPKB","0.399715108333334","0.967579828909356","0.0818905453621815","0.107750717581818"
"MSBB","Nucleus Accumbens","Microarray","AD-NCI","ITPKB","-0.12017967357143","0.96750186706961","0.0862160496444809","0.107770062055601"
"MSBB","Inferior Frontal Gyrus","Microarray","AD-NCI","ITPKB","0.454876726573428","0.921364283870293","0.100673461681944","0.119849359145171"
"MSBB","Superior Parietal Lobule","Microarray","AD-NCI","ITPKB","0.115300065934066","0.801894852325231","0.138863408087577","0.157799327372247"
"MSBB","Parahippocampal Gyrus","RNA-Seq","AD-NCI","ITPR1","-0.63646862613626","5.72972238460332","3.72655564974069e-08","1.86327782487034e-06"
"MSBB","Inferior Frontal Gyrus","RNA-Seq","AD-NCI","ITPR1","-0.408173816285132","2.97741840135952","4.21348633688537e-05","0.00105337158422134"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","ITPR1","-0.461664028242778","2.10355869009356","0.000315138382237586","0.00787845955593965"
"MSBB","Superior Temporal Gyrus","RNA-Seq","AD-NCI","ITPR1","-0.34914043365764","1.86782219840124","0.00172605679527339","0.0135574434497112"
"MSBB","Frontal Pole","Microarray","AD-NCI","ITPR1","-1.02142934375","1.86782219840124","0.0023024881260752","0.0135574434497112"
"MSBB","Inferior Temporal Gyrus","Microarray","AD-NCI","ITPR1","-1.02904722363636","1.86782219840124","0.00329393844716557","0.0135574434497112"
"MSBB","Dorsolateral Prefrontal Cortex","Microarray","AD-NCI","ITPR1","-0.870818100000002","1.86782219840124","0.00361531825325631","0.0135574434497112"
"MSBB","Superior Temporal Gyrus","Microarray","AD-NCI","ITPR1","-0.824829949519236","1.86782219840124","0.00445393260359526","0.0135574434497112"
"MSBB","Putamen","Microarray","AD-NCI","ITPR1","-0.817497581944443","1.86782219840124","0.00479169836170005","0.0135574434497112"
"MSBB","Frontal Pole","RNA-Seq","AD-NCI","ITPR1","-0.212487558387449","1.86782219840124","0.00493445961589906","0.0135574434497112"
"MSBB","Parahippocampal Gyrus","Microarray","AD-NCI","ITPR1","-0.710026904102563","1.18774574381514","0.0285566285614929","0.0649014285488475"
"MSBB","Caudate Nucleus","Microarray","AD-NCI","ITPR1","-0.928250616153843","1.161543857858","0.0330900466571248","0.0689375972023433"
"MSBB","Prefrontal Cortex","Microarray","AD-NCI","ITPR1","-0.372349597402601","1.14281768461381","0.0410919112161828","0.071975106370648"
"MSBB","Inferior Frontal Gyrus","Microarray","AD-NCI","ITPR1","-0.625563173426571","1.14281768461381","0.0430372836894748","0.071975106370648"
"MSBB","Mid Temp Gyrus","Microarray","AD-NCI","ITPR1","-0.512747740178572","1.14281768461381","0.0431850638223888","0.071975106370648"
"MSBB","Amygdala","Microarray","AD-NCI","ITPR1","-0.632469491285715","1.10204532237108","0.0505981515633833","0.0790596118177864"
"MSBB","Temporal Pole","Microarray","AD-NCI","ITPR1","-0.574644909890112","0.990999941638807","0.0694238942214165","0.102093962090318"
"MSBB","Hippocampus","Microarray","AD-NCI","ITPR1","-0.707122127380956","0.956262258510179","0.0796288122718573","0.110595572599802"
"ROSMAP","Dorsolateral Prefrontal Cortex","Microarray","AD-NCI","ITPR1","-0.132344018795477","0.907693879119571","0.0939982380755975","0.123681892204734"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","MYLK3","-0.61249120610091","5.14256598061205","9.60224440869002e-08","7.20168330651752e-06"
"MSBB","Frontal Pole","RNA-Seq","AD-NCI","MYLK3","-0.295722191985963","1.59867254582389","0.00106964645136089","0.0251957594959932"
"MSBB","Parahippocampal Gyrus","Microarray","AD-NCI","MYLK3","0.242636273846154","1.59867254582389","0.00151174556975959","0.0251957594959932"
"MSBB","Inferior Frontal Gyrus","RNA-Seq","AD-NCI","MYLK3","-0.296558165539163","1.09665769329699","0.0064037194010327","0.0800464925129087"
"MSBB","Putamen","Microarray","AD-NCI","MYLK3","0.224253369444445","0.863049123262141","0.0300621698072886","0.13707267138242"
"MSBB","Hippocampus","Microarray","AD-NCI","MYLK3","0.227457729761904","0.863049123262141","0.0328974411317807","0.13707267138242"
"MSBB","Amygdala","Microarray","AD-NCI","MYLK3","0.488871197857144","0.853066518005755","0.0392727681176071","0.140259886134311"
"MSBB","Parahippocampal Gyrus","RNA-Seq","AD-NCI","MYLK3","0.41707853608336","0.706772048136135","0.062860514337787","0.196439107305584"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","P2RX2","-0.521102720227712","2.71383708917468","2.57692422034654e-05","0.00193269316525991"
"MSBB","Superior Temporal Gyrus","Microarray","AD-NCI","P2RX2","0.223747772115385","0.824404579725017","0.00599315364311434","0.149828841077858"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","PRKCG","-0.663075335584133","5.94125082583376","1.52646872526608e-08","1.14485154394956e-06"
"MSBB","Inferior Frontal Gyrus","RNA-Seq","AD-NCI","PRKCG","-0.514490954500467","3.63304798927202","9.3113360769261e-06","0.000232783401923152"
"ROSMAP","Dorsolateral Prefrontal Cortex","Microarray","AD-NCI","PRKCG","-0.199180983116158","3.29780706886319","4.02979467015646e-05","0.000503724333769558"
"MSBB","Putamen","Microarray","AD-NCI","PRKCG","-0.690466827777777","1.79613062945802","0.00255852316351217","0.0159907697719511"
"MSBB","Parahippocampal Gyrus","RNA-Seq","AD-NCI","PRKCG","-0.442649415950566","1.42355888553162","0.00377086612768123","0.0377086612768123"
"MSBB","Temporal Pole","Microarray","AD-NCI","PRKCG","-0.44522727032967","0.973693347343967","0.0291516001784243","0.106244547861208"
"MSBB","Parahippocampal Gyrus","Microarray","AD-NCI","PRKCG","-0.183876087179486","0.973693347343967","0.0297484734011381","0.106244547861208"
