"Entity.1","Entity.2","source","target"
"RAC1","AKT1",37,35
"CDC42","BCAR1",38,170
"CDC42","PARD3",38,66
"CDC42","ROCK1",38,75
"CDC42","WASL",38,180
"CDC42","RAC2",38,21
"CDC42","WAS",38,83
"CDC42","PRKCZ",38,85
"CDC42","VAV1",38,90
"CDC42","PAK1",38,93
"CDC42","PIK3R1",38,28
"CDC42","RAC1",38,37
"RHOA","VAV3",100,179
"RHOA","ROCK2",100,185
"RHOA","VAV2",100,184
"RHOA","ROCK1",100,75
"RHOA","PRKCZ",100,85
"RHOA","PRKACA",100,86
"RHOA","VAV1",100,90
"RHOA","IKBKG",100,32
"GNB1","ADCY5",39,150
"GNB1","GNG8",39,159
